Table S3: Skewing of ABIS-samples as measured using the AR-repeat based HUMARA assay and TRiXi.							
sample	TRiXi_mean_skewing	ARHGAP6_skewing	CNKSR2_skewing	TCAC1_skewing	RP2_skewing	ZIC3_skewing	AR_skewing
300285	89.6	89.6	homozygous	homozygous	homozygous	homozygous	98.5
302504	52.3	homozygous	50.2	50.4	56.4	homozygous	homozygous
315015	55.8	56.2	51.8	homozygous	54.1	60.9	55
316493	61.4	54.1	65.9	64.2	homozygous	homozygous	59.2
316561	61	65.5	54.1	62.4	62	homozygous	56.6
316613	54.2	53.8	homozygous	52.4	56.3	homozygous	56.2
316662	57.2	56.7	56.8	61.8	55.5	55.4	homozygous
316689	64.7	64.8	66	homozygous	63.7	64.4	homozygous
316721	52	homozygous	51	homozygous	53.7	51.4	55.6
316856	58.2	58.4	71.1	homozygous	50.5	52.7	50.3
316903	58	54.4	54.8	66.6	homozygous	56.1	homozygous
316977	82.4	82.9	homozygous	79.9	86.2	80.4	86.7
317006	93.8	92.1	homozygous	homozygous	95.5	homozygous	96.2
317280	54	56.1	55.8	53.9	50	homozygous	74.5
317317	60.1	50.2	84.8	homozygous	51.5	54	52
317727	76.6	76.6	homozygous	homozygous	homozygous	homozygous	73.2
317740	57.2	50.3	63.2	63.5	56.8	52	52.4
317793	60.5	60	77.1	homozygous	51.5	53.6	homozygous
317803	56.4	55.5	homozygous	58.2	56.7	55.3	54.6
317855	57	57.1	56.9	homozygous	54.6	59.6	56.4
318030	65.5	59.4	homozygous	72.6	62.3	67.8	homozygous
318322	66.3	homozygous	93.6	52.6	62.6	56.6	51
318581	63.5	71.3	56.8	homozygous	57.5	68.3	homozygous
318730	61.5	64.7	55.6	homozygous	homozygous	homozygous	70.6
319056	60.4	homozygous	60.6	homozygous	61.3	59.2	65.1
319096	55.2	homozygous	54.9	53.2	homozygous	57.4	homozygous
319153	63.1	homozygous	62.9	57.1	60.7	71.6	67.5
319170	73.8	72.5	homozygous	65.4	homozygous	83.4	78.8
319489	64.3	homozygous	53.1	homozygous	65	74.7	62.1
319678	66.5	homozygous	77.9	homozygous	55.1	homozygous	64.6
320248	91.3	91.7	89.6	homozygous	92.7	homozygous	95.8
320254	62.1	homozygous	homozygous	homozygous	65.4	58.8	76.7
320280	97	94.8	97.8	93.3	99.3	99.6	99.6
320560	66.7	homozygous	73.1	62.3	64.7	homozygous	77.1
320574	93.8	84.5	homozygous	98.4	98.4	homozygous	97.9
320607	58.2	55.7	58.7	50.4	57.1	69.2	homozygous
320678	64.5	homozygous	62.7	homozygous	63.2	67.6	homozygous
321433	59.6	63.8	homozygous	homozygous	61.1	53.9	61.4
321478	68.2	54.4	82	68.5	58.7	77.6	77.2
321852	63.5	74.7	51	59.8	68.7	homozygous	59.3
321994	75.8	74.5	homozygous	homozygous	70.4	82.5	74.9
322039	71.1	63.2	76.3	homozygous	73.8	homozygous	62
322620	55.8	56.1	61.9	56.1	50.7	54.1	57.7
323213	75.9	73.3	79.7	homozygous	homozygous	84.1	65.1
323296	62.7	63.5	homozygous	60.1	64.5	homozygous	67.9
323327	57.7	61.1	58.3	60.1	51.2	homozygous	54.2
324066	70.6	78.4	homozygous	67.2	62	74.7	homozygous
324416	61.4	58.9	58.9	56.9	61.3	70.9	66.3
324645	56.7	54.7	62.6	50.7	53.1	62.2	61.3
324655	82.2	75	88.3	homozygous	homozygous	82.6	homozygous

